Input,BioGro #,Licensee,Type,Category,Sub Type
Entrust Naturalyte,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Entrust SC (SKU# 1020595),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Entrust SC Naturalyte Insect Control,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Insecticide,
Entrust™ SC Naturalyte™,4560.0,Corteva AgriScience New Zealand Ltd,Crop Management,Insecticide,
Entrust™ SC Naturalyte™ Insect Control,4560.0,Corteva AgriScience New Zealand Ltd,Crop Management,Insecticide,
Entrust™ SC Naturalyte™ Insect Control,4432.0,Horticentre Ltd,Crop Management,Insecticide,
Envirolyte ANK Neutral Anolyte / Safe Sanitiser,5576.0,AWS Group,Facility Management,Cleaning,
Envirolyte ANK-Clean Conc.,5576.0,AWS Group,Facility Management,Cleaning,
Equine flu 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Equine flu/herpes 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Equisetum Plus (botanical sodium silicate),433.0,Sustain-Ability TA EcoGrape Ltd,Soil & Plant Nutrition,Biodynamic Preparation,
ERT 23 PLUS,6309.0,CIFO SRL,Soil & Plant Nutrition,Plant Derived Fertiliser,
Esteem,6185.0,Arxada NZ Ltd,Crop Management,Pesticide,
Esteem (SKU# 1022562),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Pesticide,
Etherics 1000,2753.0,BdMax Ltd,Soil & Plant Nutrition,Homeopathic Preparation,
Etherics 1000 (SKU# 1017003),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Homeopathic Preparation,
Etherics 5,2753.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
Etherics 7,2753.0,BdMax Ltd,Soil & Plant Nutrition,Homeopathic Preparation,
ETIDOT - 67 Disodium octaborate,5029.0,Flynn Holdings Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Euphrasia 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Exceed,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Excel Oil Organic Spraying Oil,2933.0,PGG Wrightson (Fruitfed Supplies),Crop Management,Fungicide,
"Excel Oil Organic Spraying Oil (SKU# 1007633, 1007634, 1007635)",4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Fungicide,
Excel Organic Oil,2925.0,Agrinova NZ Ltd TA Gro-Chem,Crop Management,Fungicide,
Excel Organic Oil,4432.0,Horticentre Ltd,Crop Management,Fungicide,
Excellence B2,5592.0,Fine Wine Supplies,Inoculant,,
Excellence Bio-Nature,5592.0,Fine Wine Supplies,Inoculant,,
Excellence DS,5592.0,Fine Wine Supplies,Inoculant,,
Excellence FTH,5592.0,Fine Wine Supplies,Inoculant,,
Excellence FW,5592.0,Fine Wine Supplies,Inoculant,,
Excellence SP,5592.0,Fine Wine Supplies,Inoculant,,
Excellence STR,5592.0,Fine Wine Supplies,Inoculant,,
Excellence TXL,5592.0,Fine Wine Supplies,Inoculant,,
Excellence XR,5592.0,Fine Wine Supplies,Inoculant,,
Extraferm,5605.0,Winequip Products Ltd,Yeast Nutrient,,
Extralyse,5587.0,Laffort New Zealand Ltd,Enzyme,,
Extrared L,5593.0,Pacific Rim Oenology Services Ltd,Enzyme,,
FarmGuard Hepta Zinc,4885.0,IXOM Operations Pty Ltd,Livestock Feed / Supplement,Supplement,Mineral
FarmGuard Magnesium Chloride,4885.0,IXOM Operations Pty Ltd,Livestock Feed / Supplement,Supplement,
FarmGuard Magnesium Oxide,4885.0,IXOM Operations Pty Ltd,Livestock Feed / Supplement,Supplement,
FarmGuard Magnesium Sulphate,4885.0,IXOM Operations Pty Ltd,Livestock Feed / Supplement,Supplement,
FarmGuard Mono Zinc,4885.0,IXOM Operations Pty Ltd,Livestock Feed / Supplement,Supplement,Mineral
Fasciola 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
FE nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Fermaid O,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
FermControl,5586.0,Kauri NZ Ltd,Yeast Nutrient,Yeast derivate,
FermControl BIO,5586.0,Kauri NZ Ltd,Yeast Nutrient,Yeast derivate,
Fermented Herbal Extract (FHE),6352.0,Multikraft NZ Ltd,Livestock Feed / Supplement,Supplement,Other
Fermichamp,2933.0,PGG Wrightson (Fruitfed Supplies),Inoculant,Yeast,
Fermivin 3C,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermivin 4F9,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermivin Champion,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermivin Champion Booster,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermivin LCVB,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermivin P21,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermivin PDM,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermivin PDM,2933.0,PGG Wrightson (Fruitfed Supplies),Inoculant,Yeast,
Fermivin TS28,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermivin Vineae,5605.0,Winequip Products Ltd,Inoculant,Yeast,
Fermivin VR5,5605.0,Winequip Products Ltd,Yeast,Yeast,
Fermobent Pore-Tec,2933.0,PGG Wrightson (Fruitfed Supplies),Clarification / Fining,Mineral,Bentonite
Ferrous Sulphate,4038.0,BioAg Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Ferrous Sulphate,4038.0,BioAg Ltd,Livestock Feed / Supplement,Supplement,Mineral
Ferrum phos 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
FertAg 0-8-0,5941.0,Fertoz Agriculture Pty Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Fertco Guano Phosphate (SKU# 1019415),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Fertilpot,5504.0,Biogrow (2021) Ltd,Soil & Plant Nutrition,Other,
FG4,2753.0,BdMax Ltd,Crop Management,Homeopathic Preparation,
FIL Organic Teat Conditioner,4948.0,Farmers Industries Ltd,Livestock Treatment,Remedies,
Filmchem Potassium Humate,5256.0,Filmchem Ltd,Soil & Plant Nutrition,Humate,
First Step,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
Fish Bone Calcium Powder,5252.0,United Fisheries Ltd,Livestock Feed / Supplement,Supplement,Mineral
Fish Juice,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Fish Fertiliser,
Fish Liquid Concentrate,2589.0,Sealord Group Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Fish meal,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Fish Meal,202.0,P T Enterprises Ltd TA Biosea,Soil & Plant Nutrition,Fish Fertiliser,
Fish Meal,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Fish Meal (SKU# 1013177),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Fish Oil,2589.0,Sealord Group Ltd,Soil & Plant Nutrition,Fish Fertiliser,
FishBoost,5467.0,Waikaitu Ltd,Soil & Plant Nutrition,Fish Fertiliser,
FishGrow,5991.0,Azwood Ltd,Soil & Plant Nutrition,Fish Fertiliser,
Fitoproteina P,5593.0,Pacific Rim Oenology Services Ltd,Clarification / Fining,,
Fitrostabil,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
FIXA B Aquaflow,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Fixa Mn,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Fixa Mn,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Fixa Zn,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Fixa Zn,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Fixa Zn,2594.0,De Sangosse New Zealand Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Fixine,5139.0,Agrifert (NZ) Limited,Livestock Feed / Supplement,,
Flax (Code - 4015 Component),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Florence Fennel Romanesco (Code - 3255),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Foamklaw,4885.0,IXOM Operations Pty Ltd,Facility Management,Cleaning,
Fodda General Fertiliser,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
FOLCROP COMBI,6300.0,Sustainable Agro Solutions SA,Soil & Plant Nutrition,Mineral Fertiliser,
FOLCROP Zn-Mn,6300.0,Sustainable Agro Solutions SA,Soil & Plant Nutrition,Mineral Fertiliser,
Foliar NRG,6352.0,Multikraft NZ Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Folicist,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Microorganisms,Other
Folicist (SKU# 1020206),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Microorganisms,
"Folliculinum 7c, 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
FORCRAL,6300.0,Sustainable Agro Solutions SA,Soil & Plant Nutrition,Mineral Fertiliser,
Formic Pro,5523.0,NOD Apiary Products Ltd,Apiary Management,Apiary Treatment,
FR nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Free Flo Copper,4547.0,Grosafe Chemicals Ltd,Crop Management,Fungicide,
Free Flo Copper Fruit & Veggies,4547.0,Grosafe Chemicals Ltd,Crop Management,Fungicide,
Fresh Cow Bolus,5332.0,True Health Ltd,Livestock Treatment,Herbal remedies,
FreshArom,5587.0,Laffort New Zealand Ltd,Yeast Nutrient,,
Frozen 30c,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
FruitGuard,5467.0,Waikaitu Ltd,Soil & Plant Nutrition,Microorganisms,
FruitGuard,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Fish Fertiliser,
FruitGuard,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Full Colour,5605.0,Winequip Products Ltd,Clarification / Fining,,
Fulvic Acid 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Fulvic Express,4769.0,New Zealand Humates Ltd,Soil & Plant Nutrition,Humate,
Fulvic Express Liquid,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Humate,
"Fulvic Express Liquid (SKU# 1012764, 1012765, 1040620)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Humate,
Fulzyme Plus,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Microorganisms,Biostimulant
Fulzyme Plus,3844.0,"Roots, Shoots and Fruits Ltd",Soil & Plant Nutrition,Microorganisms,Biostimulant
Fulzyme Plus Liquid,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Microorganisms,Inoculant
Fungaway 30c,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
Fusobacterium 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Futur Fiber Hemp/Wool Mulch,6210.0,Advance Landscape Systems Ltd,Soil & Plant Nutrition,Mulch/Bark,
Futur Fiber Wool Mulch,6210.0,Advance Landscape Systems Ltd,Soil & Plant Nutrition,Mulch/Bark,
Future Post (Plastic posts),5971.0,Future Post 2011 Ltd,Farm Management,Crop Husbandry / Orchard Management,
Fylloton Organic,5568.0,Biolchim New Zealand Ltd,Soil & Plant Nutrition,Other,
Fylloton Organic (SKU# 1052923),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,,
Fyneo,5605.0,Winequip Products Ltd,Clarification / Fining,,
Gaia,5596.0,Lallemand Australia Pty Ltd,Inoculant,,
Galalcool,5587.0,Laffort New Zealand Ltd,Stabilisation,,
Gammaglobulin 200c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Garden Mix,4575.0,Composting New Zealand Ltd,Soil & Plant Nutrition,Compost,
Garden Time Organic Compost,3589.0,Daltons Ltd,Soil & Plant Nutrition,Compost,
Garden Time Organic Garden Mix,3589.0,Daltons Ltd,Soil & Plant Nutrition,Soil/Potting Mix,
GardenHuMate,5638.0,Southern Humates,Soil & Plant Nutrition,Humate,
Gecoll,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Gecoll Supra,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Gelarom,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Gelatine Extra No.1,5587.0,Laffort New Zealand Ltd,Clarification / Fining,,
Gelsemium 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Gelsemium C 200,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
Gensea,5348.0,Acadian Seaplants,Soil & Plant Nutrition,Seaweed Fertiliser,
Gibb-Gro Potassium Humate,5256.0,Filmchem Ltd,Soil & Plant Nutrition,Humate,
Gibb-Gro Seaweed Extract Flake,5256.0,Filmchem Ltd,Soil & Plant Nutrition,Seaweed Fertiliser,
Ginko bil 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Glutastar,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Go Ferm,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Go Ferm Protect,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Go Ferm Protect Evolution,5596.0,Lallemand Australia Pty Ltd,Yeast Nutrient,,
Goat Larvae 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Golden Bay Dolomite - Standard (SKU# 1006301) and Microfine (SKU # 1023482),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Golden Bay Dolomite Chip 5-10mm grade,5099.0,Golden Bay Dolomite,Soil & Plant Nutrition,Mineral Fertiliser,
Golden Bay Dolomite Powder,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Golden Bay Dolomite Powder,4974.0,Kiwi Fertiliser Co Ltd,Livestock Feed / Supplement,Supplement,
Golden Bay Dolomite Powder,4974.0,Kiwi Fertiliser Co Ltd,Livestock Feed / Supplement,Supplement,
Golden Bay Dolomite Powder,5117.0,Dolomite Co. of NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Golden Bay Dolomite Powder,5117.0,Dolomite Co. of NZ Ltd,Livestock Feed / Supplement,Supplement,
Golden Bay Dolomite Powder,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Golden Bay Dolomite Powder,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Golden Bay Dolomite Powder,4974.0,Kiwi Fertiliser Co Ltd,Livestock Feed / Supplement,Supplement,
Golden Bay Dolomite Powder,4841.0,Osflo Fertiliser Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Golden Bay Dolomite Powder - Standard and Microfine,5099.0,Golden Bay Dolomite,Soil & Plant Nutrition,Mineral Fertiliser,
Golden Bay Dolomite Powder - Standard and Microfine,5099.0,Golden Bay Dolomite,Livestock Feed / Supplement,Supplement,
GoldLime,5139.0,Agrifert (NZ) Limited,Soil & Plant Nutrition,Mineral Fertiliser,
Gomixel,5629.0,Esvin Wine Resources Ltd,Clarification / Fining,,
Graded Natural Zeolite,2846.0,Blue Pacific Minerals Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Graded Natural Zeolite (SKU# 1029018),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Grandevo WDG,4027.0,Nufarm NZ Ltd,Crop Management,Insecticide,
Grandevo WDG (SKU# 1049865),4472.0,Farmlands Co-Operative Society Ltd,Crop Management,Insecticide,
Grand-K,6290.0,NL Trading Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Granucol BI,2933.0,PGG Wrightson (Fruitfed Supplies),Clarification / Fining,,
Granucol FA,2933.0,PGG Wrightson (Fruitfed Supplies),Clarification / Fining,,
Granucol GE,2933.0,PGG Wrightson (Fruitfed Supplies),Clarification / Fining,,
Granular Guano,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
"Graphites 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Green Broccoli (Code - 4020),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Green Fine Must,5592.0,Fine Wine Supplies,Clarification / Fining,,
Green Fine Must Liquid,5592.0,Fine Wine Supplies,Clarification / Fining,,
Green Komatsuna (Code - 4015.6),5491.0,Kings Seeds NZ Ltd,Seeds and Planting Stock,,
Green Trading Diatomaceous Earth Powder,5530.0,Green Trading Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Green Trading Diatomaceous Earth Powder,5530.0,Green Trading Co Ltd,Livestock Feed / Supplement,Supplement,Mineral
Greenwaste Compost,5991.0,Azwood Ltd,Soil & Plant Nutrition,Compost,
GRO-B,2925.0,Agrinova NZ Ltd TA Gro-Chem,Soil & Plant Nutrition,Mineral Fertiliser,
GRO-B,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gro-B (SKU# 1008488),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
GRO-Calcium,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
GRO-Calcium,2925.0,Agrinova NZ Ltd TA Gro-Chem,Soil & Plant Nutrition,Mineral Fertiliser,
GRO-Calcium,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Gro-Mn,2925.0,Agrinova NZ Ltd TA Gro-Chem,Soil & Plant Nutrition,Mineral Fertiliser,
Gro-Mn,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
GRO-Mn,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gro-Mn (SKU# 1008489),4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Grosure Houseplant Insect Control Spray,4850.0,Kiwicare Corporation Ltd,Crop Management,Insecticide,
Grow Smart,5153.0,Agraforum NZ Ltd,Crop Management,,
Grow well,5005.0,Homeopathic Farm Services Ltd,Crop Management,Pest control,
Growing of seedlings for wholesale sale & distribution,5964.0,Persson's Nursery,Other,,
Growing of seedlings into transplants for certified growers,5964.0,Persson's Nursery,Other,,
Growth Booster,5638.0,Southern Humates,Soil & Plant Nutrition,Humate,
GS nosode 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Guano,5136.0,Remediation NZ Ltd TA Revital Fertilisers,Soil & Plant Nutrition,Mineral Fertiliser,
Guano,4969.0,Fernhill Limeworks Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Guano,5115.0,Mainland Minerals Southern Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Guano,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Guano,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Guano,5006.0,Rorisons RMD Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Guano FosSul,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Guano Phosphate,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Animal Derived Fertiliser,Guano
Guano Phosphate,6290.0,NL Trading Ltd,Soil & Plant Nutrition,Plant Derived Fertiliser,
Guano Phosphate,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Guano Phosphate,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Guano Phosphate,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,Guano
Guano Phosphate,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,Guano
Guano Phosphate NGP,4993.0,Livestock Supplies NZ Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Guano Phosphate P20,171.0,Pacific BioFert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Guano Phosphate Rock,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
Guano Phosphate Rock,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Animal Derived Fertiliser,
"Gunpowder 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Gypsum,2933.0,PGG Wrightson (Fruitfed Supplies),Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum,5082.0,Fertco 2016 Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum,5622.0,Total Fert Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum,4432.0,Horticentre Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum,5480.0,Parker Lime Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum,4862.0,Fertilizer NZ Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Gypsum (SKU# 1019416, 1003645)",4472.0,Farmlands Co-Operative Society Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Clay Breaker,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Clay Breaker,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Clay Breaker,4974.0,Kiwi Fertiliser Co Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Clay Breaker,3860.0,Winstone Wallboards Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Clay Breaker,3860.0,Winstone Wallboards Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Raw Screened,3860.0,Winstone Wallboards Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Raw Screened,3860.0,Winstone Wallboards Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Soil Life,3860.0,Winstone Wallboards Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
Gypsum Soil Life,3860.0,Winstone Wallboards Ltd,Soil & Plant Nutrition,Mineral Fertiliser,
"Hamamelis 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Hatuma Organic Agricultural Lime,5758.0,Hatuma Lime Company Ltd,Soil & Plant Nutrition,Other,
Healthy Cow Calcium Supplement (Calcium only),4871.0,AB Lime Ltd,Livestock Feed / Supplement,Supplement,
Healthy Cow Calcium Supplement (SKU# 1008799),4472.0,Farmlands Co-Operative Society Ltd,Livestock Feed / Supplement,Supplement,Mineral
Hekla lava 30c,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Helix Tosta D 6,433.0,Sustain-Ability TA EcoGrape Ltd,Crop Management,Homeopathic Preparation,
"Hepar sulphuris 9c, 30c, 200c",5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Homeopathic Preparation,
Herbal AB,5005.0,Homeopathic Farm Services Ltd,Livestock Treatment,Herbal remedies,
